AL01,NORTHERN VALLEY
AL02,APPALACHIAN MOUNTAIN
AL03,UPPER PLAINS
AL04,EASTERN VALLEY
AL05,PIEDMONT PLATEAU
AL06,PRAIRIE
AL07,COASTAL PLAIN
AL08,GULF
AK01,NORTH SLOPE
AK02,WEST COAST
AK03,CENTRAL INTERIOR
AK04,NORTHEAST INTERIOR
AK05,SOUTHEAST INTERIOR
AK06,COOK INLET
AK07,BRISTOL BAY
AK08,NORTHWEST GULF
AK09,NORTHEAST GULF
AK10,NORTH PANHANDLE
AK11,CENTRAL PANHANDLE
AK12,SOUTH PANHANDLE
AK13,ALEUTIANS
AZ01,NORTHWEST
AZ02,NORTHEAST
AZ03,NORTH CENTRAL
AZ04,EAST CENTRAL
AZ05,SOUTHWEST
AZ06,SOUTH CENTRAL
AZ07,SOUTHEAST
AR01,NORTHWEST
AR02,NORTH CENTRAL
AR03,NORTHEAST
AR04,WEST CENTRAL
AR05,CENTRAL
AR06,EAST CENTRAL
AR07,SOUTHWEST
AR08,SOUTH CENTRAL
AR09,SOUTHEAST
CA01,NORTH COAST DRAINAGE
CA02,SACRAMENTO DRNG.
CA03,NORTHEAST INTER. BASINS
CA04,CENTRAL COAST DRNG.
CA05,SAN JOAQUIN DRNG.
CA06,SOUTH COAST DRNG.
CA07,SOUTHEAST DESERT BASIN
CO01,ARKANSAS DRAINAGE BASIN
CO02,COLORADO DRAINAGE BASIN
CO03,KANSAS DRAINAGE BASIN
CO04,PLATTE DRAINAGE BASIN
CO05,RIO GRANDE DRAINAGE BASIN
CT01,NORTHWEST
CT02,CENTRAL
CT03,COASTAL
DE01,NORTHERN
DE02,SOUTHERN
FL01,NORTHWEST
FL02,NORTH
FL03,NORTH CENTRAL
FL04,SOUTH CENTRAL
FL05,EVERGLADES
FL06,LOWER EAST COAST
FL07,KEYS
GA01,NORTHWEST
GA02,NORTH CENTRAL
GA03,NORTHEAST
GA04,WEST CENTRAL
GA05,CENTRAL
GA06,EAST CENTRAL
GA07,SOUTHWEST
GA08,SOUTH CENTRAL
GA09,SOUTHEAST
HI01,KAUAI
HI02,OAHU
HI03,MOLOKAI
HI04,LANAI
HI05,MAUI
HI06,HAWAII
ID01,PANHANDLE
ID02,NORTH CENTRAL PRAIRIES
ID03,NORTH CENTRAL CANYONS
ID04,CENTRAL MOUNTAINS
ID05,SOUTHWESTERN VALLEYS
ID06,SOUTHWESTERN HIGHLANDS
ID07,CENTRAL PLAINS
ID08,NORTHEASTERN VALLEYS
ID09,UPPER SNAKE RIVER PLAINS
ID10,EASTERN HIGHLANDS
IL01,NORTHWEST
IL02,NORTHEAST
IL03,WEST
IL04,CENTRAL
IL05,EAST
IL06,WEST SOUTHWEST
IL07,EAST SOUTHEAST
IL08,SOUTHWEST
IL09,SOUTHEAST
IN01,NORTHWEST
IN02,NORTH CENTRAL
IN03,NORTHEAST
IN04,WEST CENTRAL
IN05,CENTRAL
IN06,EAST CENTRAL
IN07,SOUTHWEST
IN08,SOUTH CENTRAL
IN09,SOUTHEAST
IA01,NORTHWEST
IA02,NORTH CENTRAL
IA03,NORTHEAST
IA04,WEST CENTRAL
IA05,CENTRAL
IA06,EAST CENTRAL
IA07,SOUTHWEST
IA08,SOUTH CENTRAL
IA09,SOUTHEAST
KS01,NORTHWEST
KS02,NORTH CENTRAL
KS03,NORTHEAST
KS04,WEST CENTRAL
KS05,CENTRAL
KS06,EAST CENTRAL
KS07,SOUTHWEST
KS08,SOUTH CENTRAL
KS09,SOUTHEAST
KY01,WESTERN
KY02,CENTRAL
KY03,BLUE GRASS
KY04,EASTERN
LA01,NORTHWEST
LA02,NORTH CENTRAL
LA03,NORTHEAST
LA04,WEST CENTRAL
LA05,CENTRAL
LA06,EAST CENTRAL
LA07,SOUTHWEST
LA08,SOUTH CENTRAL
LA09,SOUTHEAST
ME01,NORTHERN
ME02,SOUTHERN INTERIOR
ME03,COASTAL
MD01,SOUTHEASTERN SHORE
MD02,CENTRAL EASTERN SHORE
MD03,LOWER SOUTHERN
MD04,UPPER SOUTHERN
MD05,NORTHEASTERN SHORE
