72228,USW00013876,AL,BIRMINGHAM
72323,USW00003856,AL,HUNTSVILLE
72223,USW00013894,AL,MOBILE
72226,USW00013895,AL,MONTGOMERY
99KMSL,USW00013896,AL,MUSCLE SHOALS
99KTCL,USW00093806,AL,TUSCALOOSA
70273,USW00026451,AK,ANCHORAGE
70026,USW00027502,AK,BARROW
70219,USW00026615,AK,BETHEL
70174,USW00026533,AK,BETTLES
70267,USW00026415,AK,BIG DELTA
70316,USW00025624,AK,COLD BAY
70296,USW00026410,AK,CORDOVA
70261,USW00026411,AK,FAIRBANKS
70271,USW00026425,AK,GULKANA
70341,USW00025507,AK,HOMER
70381,USW00025309,AK,JUNEAU
70259,USW00026523,AK,KENAI
70395,USW00025325,AK,KETCHIKAN
70326,USW00025503,AK,KING SALMON
70350,USW00025501,AK,KODIAK
70133,USW00026616,AK,KOTZEBUE
70231,USW00026510,AK,MCGRATH
70200,USW00026617,AK,NOME
70291,USW00026412,AK,NORTHWAY
70308,USW00025713,AK,ST PAUL ISLAND
70371,USW00025333,AK,SITKA
70251,USW00026528,AK,TALKEETNA
70207,USW00026627,AK,UNALAKLEET
70275,USW00026442,AK,VALDEZ
70361,USW00025339,AK,YAKUTAT
99KDUG,USW00093026,AZ,DOUGLAS
99KFLG,USW00003103,AZ,FLAGSTAFF
72278,USW00023183,AZ,PHOENIX
72274,USW00023160,AZ,TUCSON
72374,USW00023194,AZ,WINSLOW
72280,USW00003145,AZ,YUMA
99KELD,USW00093992,AR,EL DORADO
99KFYV,USW00093993,AR,FAYETTEVILLE
72344,USW00013964,AR,FORT SMITH
99KHRO,USW00013971,AR,HARRISON
72340,USW00003952,AR,LITTLE ROCK
99KTXK,USW00013977,AR,TEXARKANA
72384,USW00023155,CA,BAKERSFIELD
99KBLH,USW00023158,CA,BLYTHE
72594,USW00024213,CA,EUREKA
72389,USW00093193,CA,FRESNO
99KIPL,USW00003144,CA,IMPERIAL
72295,USW00023174,CA,LOS ANGELES
99KMHS,USC00045983,CA,MT SHASTA
99KPRB,USW00093209,CA,PASO ROBLES
72591,USW00024216,CA,RED BLUFF
72592,USW00024257,CA,REDDING
72483,USW00023232,CA,SACRAMENTO
72290,USW00023188,CA,SAN DIEGO
72494,USW00023234,CA,SAN FRANCISCO
72492,USW00023237,CA,STOCKTON
99KAKO,USW00024015,CO,AKRON
72462,USW00023061,CO,ALAMOSA
72466,USW00093037,CO,COLORADO SPRINGS
72565,USW00003017,CO,DENVER
99KEGE,USW00023063,CO,EAGLE
72476,USW00023066,CO,GRAND JUNCTION
99KLHX,USW00023067,CO,LA JUNTA
72464,USW00093058,CO,PUEBLO
99KTAD,USW00023070,CO,TRINIDAD
72504,USW00094702,CT,BRIDGEPORT
72508,USW00014740,CT,HARTFORD
99KILG,USW00013781,DE,WILMINGTON
72405,USW00013743,VA,WASHINGTON
99KDAB,USW00012834,FL,DAYTONA BEACH
99KFLL,USW00012849,FL,FT LAUDERDALE
99KFMY,USW00012835,FL,FORT MYERS
99KGNV,USW00012816,FL,GAINESVILLE
72206,USW00013889,FL,JACKSONVILLE
72201,USW00012836,FL,KEY WEST
72204,USW00012838,FL,MELBOURNE
72202,USW00012839,FL,MIAMI
72205,USW00012815,FL,ORLANDO
72222,USW00013899,FL,PENSACOLA
72214,USW00093805,FL,TALLAHASSEE
72211,USW00012842,FL,TAMPA
99KVRB,USW00012843,FL,VERO BEACH
72203,USW00012844,FL,WEST PALM BEACH
99KABY,USW00013869,GA,ALBANY
72311,USW00013873,GA,ATHENS
72219,USW00013874,GA,ATLANTA
72218,USW00003820,GA,AUGUSTA
