AL,1241875
AK,33310
AZ,1599479
AR,602356
CA,3553048
CO,496409
CT,232659
DE,130157
FL,7289166
GA,2112315
HI,156217
ID,221619
IL,835086
IN,777973
IA,296819
KS,288513
KY,923549
LA,1115621
ME,42162
MD,1069511
MA,434761
MI,403814
MN,399732
MS,640110
MO,897476
MT,108126
NE,237292
NV,405321
NH,53539
NJ,450140
NM,167360
NY,925349
NC,2571633
ND,131381
OH,1144011
OK,593289
OR,846842
PA,1199966
RI,43961
SC,1401910
SD,112088
TN,1644578
TX,5987286
UT,142929
VT,15574
VA,1764985
WA,1632107
WV,327737
WI,387271
WY,52765
